# x	y	u	v	flags	mask
8.0000e+00	2.4800e+02	3.2038e+00	3.9633e-02	0.0000e+00	0.0000e+00
1.6000e+01	2.4800e+02	3.1716e+00	3.9436e-02	0.0000e+00	0.0000e+00
2.4000e+01	2.4800e+02	3.1474e+00	1.1088e-02	1.0000e+00	0.0000e+00
3.2000e+01	2.4800e+02	3.1396e+00	2.7880e-02	1.0000e+00	0.0000e+00
4.0000e+01	2.4800e+02	3.1636e+00	1.3135e-01	0.0000e+00	0.0000e+00
4.8000e+01	2.4800e+02	3.1331e+00	1.4777e-01	0.0000e+00	0.0000e+00
5.6000e+01	2.4800e+02	3.0524e+00	1.2658e-01	0.0000e+00	0.0000e+00
6.4000e+01	2.4800e+02	3.0099e+00	2.0136e-01	0.0000e+00	0.0000e+00
7.2000e+01	2.4800e+02	2.9889e+00	1.6440e-01	0.0000e+00	0.0000e+00
8.0000e+01	2.4800e+02	3.0058e+00	1.9547e-02	0.0000e+00	0.0000e+00
8.8000e+01	2.4800e+02	2.8113e+00	-1.8260e-01	1.0000e+00	0.0000e+00
9.6000e+01	2.4800e+02	2.7691e+00	-3.0003e-01	0.0000e+00	0.0000e+00
1.0400e+02	2.4800e+02	2.5766e+00	-3.7887e-01	0.0000e+00	0.0000e+00
1.1200e+02	2.4800e+02	2.3709e+00	-3.1026e-01	0.0000e+00	0.0000e+00
1.2000e+02	2.4800e+02	2.5197e+00	-3.1392e-01	1.0000e+00	0.0000e+00
1.2800e+02	2.4800e+02	2.2359e+00	-2.8128e-01	0.0000e+00	0.0000e+00
1.3600e+02	2.4800e+02	2.2763e+00	-2.3559e-01	0.0000e+00	0.0000e+00
1.4400e+02	2.4800e+02	2.3665e+00	-1.6837e-01	0.0000e+00	0.0000e+00
1.5200e+02	2.4800e+02	2.5247e+00	-9.1582e-02	0.0000e+00	0.0000e+00
1.6000e+02	2.4800e+02	2.7694e+00	-1.4321e-01	1.0000e+00	0.0000e+00
1.6800e+02	2.4800e+02	2.8078e+00	-1.6488e-01	1.0000e+00	0.0000e+00
1.7600e+02	2.4800e+02	2.8034e+00	-1.8741e-01	1.0000e+00	0.0000e+00
1.8400e+02	2.4800e+02	2.6329e+00	-2.7712e-01	0.0000e+00	0.0000e+00
1.9200e+02	2.4800e+02	2.5407e+00	-1.9764e-01	0.0000e+00	0.0000e+00
2.0000e+02	2.4800e+02	2.7557e+00	-8.9708e-02	1.0000e+00	0.0000e+00
2.0800e+02	2.4800e+02	2.6339e+00	-6.6148e-02	0.0000e+00	0.0000e+00
2.1600e+02	2.4800e+02	2.8090e+00	7.2718e-02	1.0000e+00	0.0000e+00
2.2400e+02	2.4800e+02	2.7688e+00	6.8187e-02	0.0000e+00	0.0000e+00
2.3200e+02	2.4800e+02	2.8478e+00	1.7430e-01	0.0000e+00	0.0000e+00
2.4000e+02	2.4800e+02	2.9864e+00	2.5118e-01	0.0000e+00	0.0000e+00
2.4800e+02	2.4800e+02	2.9892e+00	1.9491e-01	0.0000e+00	0.0000e+00
8.0000e+00	2.4000e+02	3.1613e+00	-3.3565e-02	0.0000e+00	0.0000e+00
1.6000e+01	2.4000e+02	3.1294e+00	-2.2388e-02	1.0000e+00	0.0000e+00
2.4000e+01	2.4000e+02	3.1275e+00	-1.3912e-02	1.0000e+00	0.0000e+00
3.2000e+01	2.4000e+02	3.1199e+00	-3.0167e-03	1.0000e+00	0.0000e+00
4.0000e+01	2.4000e+02	3.1930e+00	7.7731e-02	0.0000e+00	0.0000e+00
4.8000e+01	2.4000e+02	3.1265e+00	1.1707e-01	0.0000e+00	0.0000e+00
5.6000e+01	2.4000e+02	3.0371e+00	4.2695e-02	1.0000e+00	0.0000e+00
6.4000e+01	2.4000e+02	2.9765e+00	2.9564e-01	0.0000e+00	0.0000e+00
7.2000e+01	2.4000e+02	2.9439e+00	-2.8045e-02	1.0000e+00	0.0000e+00
8.0000e+01	2.4000e+02	2.8692e+00	-1.8052e-02	0.0000e+00	0.0000e+00
8.8000e+01	2.4000e+02	2.8047e+00	-2.3422e-01	0.0000e+00	0.0000e+00
9.6000e+01	2.4000e+02	2.6790e+00	-3.7547e-01	0.0000e+00	0.0000e+00
1.0400e+02	2.4000e+02	2.6791e+00	-3.1044e-01	1.0000e+00	0.0000e+00
1.1200e+02	2.4000e+02	2.6220e+00	-3.2029e-01	1.0000e+00	0.0000e+00
1.2000e+02	2.4000e+02	2.3148e+00	-3.5360e-01	0.0000e+00	0.0000e+00
1.2800e+02	2.4000e+02	2.6115e+00	-2.5916e-01	1.0000e+00	0.0000e+00
1.3600e+02	2.4000e+02	2.6551e+00	-2.1849e-01	1.0000e+00	0.0000e+00
1.4400e+02	2.4000e+02	2.7320e+00	-1.7455e-01	1.0000e+00	0.0000e+00
1.5200e+02	2.4000e+02	2.6736e+00	-9.8026e-02	0.0000e+00	0.0000e+00
1.6000e+02	2.4000e+02	2.8217e+00	-5.0046e-02	0.0000e+00	0.0000e+00
1.6800e+02	2.4000e+02	2.7743e+00	-1.0661e-01	0.0000e+00	0.0000e+00
1.7600e+02	2.4000e+02	2.6605e+00	-1.9126e-01	0.0000e+00	0.0000e+00
1.8400e+02	2.4000e+02	2.8744e+00	-1.8841e-01	1.0000e+00	0.0000e+00
1.9200e+02	2.4000e+02	2.5303e+00	-2.1508e-01	0.0000e+00	0.0000e+00
2.0000e+02	2.4000e+02	2.5442e+00	-1.2274e-01	0.0000e+00	0.0000e+00
2.0800e+02	2.4000e+02	2.5836e+00	3.7952e-02	0.0000e+00	0.0000e+00
2.1600e+02	2.4000e+02	2.7243e+00	1.4694e-01	0.0000e+00	0.0000e+00
2.2400e+02	2.4000e+02	2.8228e+00	1.8712e-01	0.0000e+00	0.0000e+00
2.3200e+02	2.4000e+02	2.8690e+00	2.1080e-01	0.0000e+00	0.0000e+00
2.4000e+02	2.4000e+02	2.9495e+00	2.4738e-01	0.0000e+00	0.0000e+00
