# x	y	u	v	flags	mask
8.0000e+00	2.4800e+02	-2.3674e+00	2.9281e-01	0.0000e+00	0.0000e+00
1.6000e+01	2.4800e+02	-2.3239e+00	2.2745e-02	0.0000e+00	0.0000e+00
2.4000e+01	2.4800e+02	-1.4997e+00	1.1634e-01	0.0000e+00	0.0000e+00
3.2000e+01	2.4800e+02	-9.2050e-01	7.0233e-01	1.0000e+00	0.0000e+00
4.0000e+01	2.4800e+02	-4.3786e-01	5.9268e-01	0.0000e+00	0.0000e+00
4.8000e+01	2.4800e+02	-2.3327e-01	5.8044e-01	0.0000e+00	0.0000e+00
5.6000e+01	2.4800e+02	3.3740e-01	8.5232e-01	0.0000e+00	0.0000e+00
6.4000e+01	2.4800e+02	-4.8278e-01	2.4892e-02	1.0000e+00	0.0000e+00
7.2000e+01	2.4800e+02	-4.8121e-01	-2.1666e-01	1.0000e+00	0.0000e+00
8.0000e+01	2.4800e+02	-7.7323e-01	-5.1816e-01	0.0000e+00	0.0000e+00
8.8000e+01	2.4800e+02	-4.2947e-01	-6.3149e-01	1.0000e+00	0.0000e+00
9.6000e+01	2.4800e+02	-1.2155e+00	-2.3355e+00	0.0000e+00	0.0000e+00
1.0400e+02	2.4800e+02	2.2277e-01	-5.9998e-01	1.0000e+00	0.0000e+00
1.1200e+02	2.4800e+02	3.7462e-01	-1.2094e+00	0.0000e+00	0.0000e+00
1.2000e+02	2.4800e+02	9.8236e-01	-4.8567e-01	1.0000e+00	0.0000e+00
1.2800e+02	2.4800e+02	1.2698e+00	-7.0089e-01	0.0000e+00	0.0000e+00
1.3600e+02	2.4800e+02	1.2023e+00	-7.5415e-01	0.0000e+00	0.0000e+00
1.4400e+02	2.4800e+02	1.0362e+00	-4.7294e-01	0.0000e+00	0.0000e+00
1.5200e+02	2.4800e+02	3.7508e-01	-4.1028e-01	0.0000e+00	0.0000e+00
1.6000e+02	2.4800e+02	1.2328e-01	-7.5646e-01	0.0000e+00	0.0000e+00
1.6800e+02	2.4800e+02	1.0429e+00	-5.4715e-01	1.0000e+00	0.0000e+00
1.7600e+02	2.4800e+02	1.2289e+00	-3.0868e-01	1.0000e+00	0.0000e+00
1.8400e+02	2.4800e+02	1.2564e+00	6.8815e-02	1.0000e+00	0.0000e+00
1.9200e+02	2.4800e+02	2.5300e+00	6.5130e-01	0.0000e+00	0.0000e+00
2.0000e+02	2.4800e+02	7.5913e-01	6.6478e-01	1.0000e+00	0.0000e+00
2.0800e+02	2.4800e+02	-1.4855e-01	2.1771e+00	0.0000e+00	0.0000e+00
2.1600e+02	2.4800e+02	-8.9040e-02	6.5830e-01	1.0000e+00	0.0000e+00
2.2400e+02	2.4800e+02	-3.3376e-01	4.7149e-01	1.0000e+00	0.0000e+00
2.3200e+02	2.4800e+02	-4.7596e-01	2.2639e-01	1.0000e+00	0.0000e+00
2.4000e+02	2.4800e+02	-5.6913e-01	-9.5008e-01	0.0000e+00	0.0000e+00
2.4800e+02	2.4800e+02	-5.3659e-01	2.6669e-01	0.0000e+00	0.0000e+00
8.0000e+00	2.4000e+02	-2.3239e+00	-5.3421e-01	0.0000e+00	0.0000e+00
1.6000e+01	2.4000e+02	-2.2446e+00	1.0461e-01	0.0000e+00	0.0000e+00
2.4000e+01	2.4000e+02	-1.1382e+00	7.2912e-01	0.0000e+00	0.0000e+00
3.2000e+01	2.4000e+02	-6.0415e-01	9.7803e-01	0.0000e+00	0.0000e+00
4.0000e+01	2.4000e+02	4.6697e-02	1.3251e+00	0.0000e+00	0.0000e+00
4.8000e+01	2.4000e+02	-5.7993e-01	5.7102e-01	1.0000e+00	0.0000e+00
5.6000e+01	2.4000e+02	1.1116e+00	1.1380e+00	0.0000e+00	0.0000e+00
6.4000e+01	2.4000e+02	-7.8889e-01	-4.2333e-01	0.0000e+00	0.0000e+00
7.2000e+01	2.4000e+02	-6.5950e-01	-2.7521e-01	1.0000e+00	0.0000e+00
8.0000e+01	2.4000e+02	-4.2197e-01	-7.4116e-01	0.0000e+00	0.0000e+00
8.8000e+01	2.4000e+02	-3.2977e-01	-6.8016e-01	0.0000e+00	0.0000e+00
9.6000e+01	2.4000e+02	-2.4451e-01	-7.2542e-01	0.0000e+00	0.0000e+00
1.0400e+02	2.4000e+02	3.8059e-01	-5.3599e-01	0.0000e+00	0.0000e+00
1.1200e+02	2.4000e+02	7.8687e-01	-2.4995e-01	0.0000e+00	0.0000e+00
1.2000e+02	2.4000e+02	7.1284e-01	-3.7474e-01	1.0000e+00	0.0000e+00
1.2800e+02	2.4000e+02	1.4163e+00	-6.3069e-01	0.0000e+00	0.0000e+00
1.3600e+02	2.4000e+02	9.7795e-01	-5.3010e-01	1.0000e+00	0.0000e+00
1.4400e+02	2.4000e+02	1.5619e+00	-4.7203e-01	0.0000e+00	0.0000e+00
1.5200e+02	2.4000e+02	1.3402e+00	-7.5767e-01	0.0000e+00	0.0000e+00
1.6000e+02	2.4000e+02	7.2380e-01	-1.5084e+00	0.0000e+00	0.0000e+00
1.6800e+02	2.4000e+02	1.0999e+00	-5.6438e-01	1.0000e+00	0.0000e+00
1.7600e+02	2.4000e+02	1.2470e+00	-3.2845e-01	1.0000e+00	0.0000e+00
1.8400e+02	2.4000e+02	2.1920e+00	1.6718e-01	0.0000e+00	0.0000e+00
1.9200e+02	2.4000e+02	1.9035e+00	6.2609e-01	0.0000e+00	0.0000e+00
2.0000e+02	2.4000e+02	7.3086e-01	5.2764e-01	1.0000e+00	0.0000e+00
2.0800e+02	2.4000e+02	3.6542e-01	5.9446e-01	1.0000e+00	0.0000e+00
2.1600e+02	2.4000e+02	-9.6127e-01	1.5291e+00	0.0000e+00	0.0000e+00
2.2400e+02	2.4000e+02	-2.1716e-01	4.1507e-01	1.0000e+00	0.0000e+00
2.3200e+02	2.4000e+02	-3.4437e-01	2.1714e-01	1.0000e+00	0.0000e+00
2.4000e+02	2.4000e+02	-6.7582e-01	-3.6872e-01	0.0000e+00	0.0000e+00
2.4800e+02	2.4000e+02	-7.2179e-01	-9.9672e-02	0.0000e+00	0.0000e+00
8.0000e+00	2.3200e+02	-1.9340e+00	-8.6064e-01	0.0000e+00	0.0000e+00
1.6000e+01	2.3200e+02	-1.2083e+00	3.4754e-01	0.0000e+00	0.0000e+00
2.4000e+01	2.3200e+02	-5.6853e-01	1.8180e+00	0.0000e+00	0.0000e+00
3.2000e+01	2.3200e+02	-8.1287e-01	1.0007e+00	1.0000e+00	0.0000e+00
4.0000e+01	2.3200e+02	-6.4554e-01	8.9809e-01	1.0000e+00	0.0000e+00
4.8000e+01	2.3200e+02	-6.4973e-01	5.7293e-01	1.0000e+00	0.0000e+00
5.6000e+01	2.3200e+02	-6.5551e-01	2.9004e-01	1.0000e+00	0.0000e+00
6.4000e+01	2.3200e+02	-1.2158e+00	-6.0009e-01	0.0000e+00	0.0000e+00
7.2000e+01	2.3200e+02	-1.1520e+00	-3.6727e-01	0.0000e+00	0.0000e+00
8.0000e+01	2.3200e+02	-7.1961e-01	-4.6661e-01	1.0000e+00	0.0000e+00
8.8000e+01	2.3200e+02	-5.5045e-01	-4.5412e-01	1.0000e+00	0.0000e+00
9.6000e+01	2.3200e+02	-1.5260e-01	-5.0120e-01	0.0000e+00	0.0000e+00
1.0400e+02	2.3200e+02	1.5692e-01	-2.5645e-01	0.0000e+00	0.0000e+00
1.1200e+02	2.3200e+02	9.8138e-01	1.6253e-02	0.0000e+00	0.0000e+00
1.2000e+02	2.3200e+02	1.5168e+00	1.7744e-01	0.0000e+00	0.0000e+00
1.2800e+02	2.3200e+02	1.6491e+00	-4.4954e-01	0.0000e+00	0.0000e+00
1.3600e+02	2.3200e+02	1.7011e+00	-6.2786e-01	0.0000e+00	0.0000e+00
1.4400e+02	2.3200e+02	1.5213e+00	-5.6498e-01	0.0000e+00	0.0000e+00
