# x	y	u	v	flags	mask
8.0000e+00	2.4800e+02	4.7624e+00	-1.3893e-01	0.0000e+00	0.0000e+00
1.6000e+01	2.4800e+02	4.5887e+00	-6.1424e-02	0.0000e+00	0.0000e+00
2.4000e+01	2.4800e+02	5.4181e+00	-8.1943e-02	1.0000e+00	0.0000e+00
3.2000e+01	2.4800e+02	5.4346e+00	-7.6605e-02	1.0000e+00	0.0000e+00
4.0000e+01	2.4800e+02	5.3971e+00	-7.1174e-02	1.0000e+00	0.0000e+00
4.8000e+01	2.4800e+02	5.2845e+00	-6.2471e-02	1.0000e+00	0.0000e+00
5.6000e+01	2.4800e+02	4.2410e+00	5.1730e-03	0.0000e+00	0.0000e+00
6.4000e+01	2.4800e+02	4.1384e+00	4.6978e-02	0.0000e+00	0.0000e+00
7.2000e+01	2.4800e+02	4.3129e+00	-5.2166e-02	0.0000e+00	0.0000e+00
8.0000e+01	2.4800e+02	4.3037e+00	-1.3063e-01	0.0000e+00	0.0000e+00
8.8000e+01	2.4800e+02	5.0615e+00	-8.7702e-02	1.0000e+00	0.0000e+00
9.6000e+01	2.4800e+02	4.2321e+00	1.5035e-02	0.0000e+00	0.0000e+00
1.0400e+02	2.4800e+02	4.3930e+00	-5.6868e-02	0.0000e+00	0.0000e+00
1.1200e+02	2.4800e+02	4.3606e+00	-8.1883e-02	0.0000e+00	0.0000e+00
1.2000e+02	2.4800e+02	5.0549e+00	-1.1325e-01	1.0000e+00	0.0000e+00
1.2800e+02	2.4800e+02	4.1745e+00	-1.3891e-01	0.0000e+00	0.0000e+00
1.3600e+02	2.4800e+02	4.2816e+00	-2.2406e-01	0.0000e+00	0.0000e+00
1.4400e+02	2.4800e+02	4.2311e+00	-1.7178e-01	0.0000e+00	0.0000e+00
1.5200e+02	2.4800e+02	4.2360e+00	-9.0829e-02	0.0000e+00	0.0000e+00
1.6000e+02	2.4800e+02	4.2381e+00	-8.1971e-02	0.0000e+00	0.0000e+00
1.6800e+02	2.4800e+02	4.0671e+00	-2.2168e-01	0.0000e+00	0.0000e+00
1.7600e+02	2.4800e+02	3.5530e+00	-2.7539e-01	0.0000e+00	0.0000e+00
1.8400e+02	2.4800e+02	3.4138e+00	-8.9045e-03	0.0000e+00	0.0000e+00
1.9200e+02	2.4800e+02	3.8109e+00	-4.3207e-02	0.0000e+00	0.0000e+00
2.0000e+02	2.4800e+02	3.8093e+00	-8.0937e-02	0.0000e+00	0.0000e+00
2.0800e+02	2.4800e+02	4.7292e+00	-1.3843e-01	1.0000e+00	0.0000e+00
2.1600e+02	2.4800e+02	3.6133e+00	-8.7702e-02	0.0000e+00	0.0000e+00
2.2400e+02	2.4800e+02	3.9208e+00	-7.8006e-02	0.0000e+00	0.0000e+00
2.3200e+02	2.4800e+02	4.6635e+00	-1.4906e-01	1.0000e+00	0.0000e+00
2.4000e+02	2.4800e+02	4.6622e+00	-1.5375e-01	1.0000e+00	0.0000e+00
2.4800e+02	2.4800e+02	3.6196e+00	7.1360e-03	0.0000e+00	0.0000e+00
8.0000e+00	2.4000e+02	5.2493e+00	-5.1601e-02	0.0000e+00	0.0000e+00
1.6000e+01	2.4000e+02	5.2354e+00	-6.9995e-02	0.0000e+00	0.0000e+00
2.4000e+01	2.4000e+02	5.2496e+00	-8.4010e-02	0.0000e+00	0.0000e+00
3.2000e+01	2.4000e+02	5.2827e+00	-8.1851e-02	0.0000e+00	0.0000e+00
4.0000e+01	2.4000e+02	5.6044e+00	-7.4968e-02	1.0000e+00	0.0000e+00
4.8000e+01	2.4000e+02	5.2840e+00	-5.5172e-02	0.0000e+00	0.0000e+00
5.6000e+01	2.4000e+02	5.1198e+00	-7.1074e-02	0.0000e+00	0.0000e+00
6.4000e+01	2.4000e+02	4.9721e+00	-9.8859e-02	0.0000e+00	0.0000e+00
7.2000e+01	2.4000e+02	5.3184e+00	-8.3533e-02	1.0000e+00	0.0000e+00
8.0000e+01	2.4000e+02	5.0449e+00	-6.1733e-02	0.0000e+00	0.0000e+00
8.8000e+01	2.4000e+02	5.0487e+00	-8.1196e-02	0.0000e+00	0.0000e+00
9.6000e+01	2.4000e+02	5.0205e+00	-1.1050e-01	0.0000e+00	0.0000e+00
1.0400e+02	2.4000e+02	4.9347e+00	-1.1079e-01	0.0000e+00	0.0000e+00
1.1200e+02	2.4000e+02	4.8844e+00	-9.5516e-02	0.0000e+00	0.0000e+00
1.2000e+02	2.4000e+02	4.9498e+00	-3.9724e-02	0.0000e+00	0.0000e+00
1.2800e+02	2.4000e+02	5.0481e+00	-5.4192e-02	0.0000e+00	0.0000e+00
1.3600e+02	2.4000e+02	5.2993e+00	-1.3134e-01	1.0000e+00	0.0000e+00
1.4400e+02	2.4000e+02	4.9315e+00	-1.3347e-01	0.0000e+00	0.0000e+00
1.5200e+02	2.4000e+02	5.0041e+00	-1.1544e-01	0.0000e+00	0.0000e+00
1.6000e+02	2.4000e+02	4.8462e+00	-1.0585e-01	0.0000e+00	0.0000e+00
1.6800e+02	2.4000e+02	4.8776e+00	-1.1161e-01	0.0000e+00	0.0000e+00
1.7600e+02	2.4000e+02	4.7939e+00	-1.3978e-01	0.0000e+00	0.0000e+00
1.8400e+02	2.4000e+02	4.8583e+00	-1.8511e-01	0.0000e+00	0.0000e+00
1.9200e+02	2.4000e+02	4.7210e+00	-2.1149e-01	0.0000e+00	0.0000e+00
2.0000e+02	2.4000e+02	5.0113e+00	-1.4130e-01	1.0000e+00	0.0000e+00
2.0800e+02	2.4000e+02	4.8014e+00	-1.5815e-01	0.0000e+00	0.0000e+00
2.1600e+02	2.4000e+02	5.0396e+00	-1.5364e-01	1.0000e+00	0.0000e+00
2.2400e+02	2.4000e+02	4.6447e+00	-1.5945e-01	0.0000e+00	0.0000e+00
2.3200e+02	2.4000e+02	4.6173e+00	-1.8649e-01	0.0000e+00	0.0000e+00
2.4000e+02	2.4000e+02	4.4439e+00	-2.0326e-01	0.0000e+00	0.0000e+00
2.4800e+02	2.4000e+02	4.4361e+00	-1.5733e-01	0.0000e+00	0.0000e+00
8.0000e+00	2.3200e+02	5.9031e+00	-7.0742e-02	0.0000e+00	0.0000e+00
1.6000e+01	2.3200e+02	5.8224e+00	-9.6204e-02	0.0000e+00	0.0000e+00
2.4000e+01	2.3200e+02	5.8971e+00	-1.0756e-01	0.0000e+00	0.0000e+00
3.2000e+01	2.3200e+02	5.8377e+00	-8.2830e-02	1.0000e+00	0.0000e+00
4.0000e+01	2.3200e+02	5.8170e+00	-8.0939e-02	1.0000e+00	0.0000e+00
4.8000e+01	2.3200e+02	5.7472e+00	-7.0539e-02	0.0000e+00	0.0000e+00
5.6000e+01	2.3200e+02	5.7234e+00	-8.0261e-02	0.0000e+00	0.0000e+00
6.4000e+01	2.3200e+02	5.6798e+00	-9.3847e-02	0.0000e+00	0.0000e+00
7.2000e+01	2.3200e+02	5.6668e+00	-1.1122e-01	0.0000e+00	0.0000e+00
8.0000e+01	2.3200e+02	5.5738e+00	-9.9808e-02	1.0000e+00	0.0000e+00
8.8000e+01	2.3200e+02	5.7892e+00	-1.1846e-01	0.0000e+00	0.0000e+00
9.6000e+01	2.3200e+02	5.7937e+00	-1.1544e-01	0.0000e+00	0.0000e+00
1.0400e+02	2.3200e+02	5.7105e+00	-1.2030e-01	0.0000e+00	0.0000e+00
1.1200e+02	2.3200e+02	5.7671e+00	-1.2441e-01	0.0000e+00	0.0000e+00
1.2000e+02	2.3200e+02	5.7443e+00	-1.3369e-01	0.0000e+00	0.0000e+00
1.2800e+02	2.3200e+02	5.6236e+00	-1.4475e-01	0.0000e+00	0.0000e+00
1.3600e+02	2.3200e+02	5.6070e+00	-1.2993e-01	0.0000e+00	0.0000e+00
1.4400e+02	2.3200e+02	5.5738e+00	-1.2393e-01	0.0000e+00	0.0000e+00
1.5200e+02	2.3200e+02	5.4581e+00	-1.4352e-01	1.0000e+00	0.0000e+00
1.6000e+02	2.3200e+02	5.4773e+00	-1.3314e-01	0.0000e+00	0.0000e+00
1.6800e+02	2.3200e+02	5.5442e+00	-1.2786e-01	0.0000e+00	0.0000e+00
1.7600e+02	2.3200e+02	5.2962e+00	-1.5446e-01	1.0000e+00	0.0000e+00
1.8400e+02	2.3200e+02	5.2702e+00	-1.6031e-01	1.0000e+00	0.0000e+00
