# x	y	u	v	flags	mask
8.0000e+00	2.4800e+02	9.0574e-02	1.1379e-03	1.0000e+00	0.0000e+00
1.6000e+01	2.4800e+02	8.9480e-02	3.8309e-04	1.0000e+00	0.0000e+00
2.4000e+01	2.4800e+02	8.8723e-02	-3.8253e-04	1.0000e+00	0.0000e+00
3.2000e+01	2.4800e+02	8.8678e-02	-1.2226e-03	1.0000e+00	0.0000e+00
4.0000e+01	2.4800e+02	9.0569e-02	-4.0571e-03	1.0000e+00	0.0000e+00
4.8000e+01	2.4800e+02	9.3912e-02	-6.0409e-03	1.0000e+00	0.0000e+00
5.6000e+01	2.4800e+02	9.7179e-02	-6.9525e-03	1.0000e+00	0.0000e+00
6.4000e+01	2.4800e+02	1.0124e-01	-6.8703e-03	1.0000e+00	0.0000e+00
7.2000e+01	2.4800e+02	1.0143e-01	-5.5713e-03	1.0000e+00	0.0000e+00
8.0000e+01	2.4800e+02	9.9871e-02	-2.2578e-03	1.0000e+00	0.0000e+00
8.8000e+01	2.4800e+02	9.6530e-02	1.1366e-03	1.0000e+00	0.0000e+00
9.6000e+01	2.4800e+02	9.4543e-02	5.3309e-03	1.0000e+00	0.0000e+00
1.0400e+02	2.4800e+02	9.1753e-02	1.0204e-02	1.0000e+00	0.0000e+00
1.1200e+02	2.4800e+02	9.4117e-02	1.5045e-02	1.0000e+00	0.0000e+00
1.2000e+02	2.4800e+02	9.7846e-02	2.0021e-02	1.0000e+00	0.0000e+00
1.2800e+02	2.4800e+02	1.0310e-01	2.5339e-02	1.0000e+00	0.0000e+00
1.3600e+02	2.4800e+02	1.0674e-01	2.7847e-02	1.0000e+00	0.0000e+00
1.4400e+02	2.4800e+02	1.1033e-01	2.6781e-02	1.0000e+00	0.0000e+00
1.5200e+02	2.4800e+02	1.0968e-01	2.3536e-02	1.0000e+00	0.0000e+00
1.6000e+02	2.4800e+02	1.0754e-01	1.8600e-02	1.0000e+00	0.0000e+00
1.6800e+02	2.4800e+02	1.0379e-01	1.2148e-02	1.0000e+00	0.0000e+00
1.7600e+02	2.4800e+02	9.9122e-02	7.5404e-03	1.0000e+00	0.0000e+00
1.8400e+02	2.4800e+02	9.2214e-02	6.2417e-03	1.0000e+00	0.0000e+00
1.9200e+02	2.4800e+02	8.4356e-02	6.2170e-03	1.0000e+00	0.0000e+00
2.0000e+02	2.4800e+02	7.4401e-02	6.6313e-03	1.0000e+00	0.0000e+00
2.0800e+02	2.4800e+02	6.4267e-02	7.3824e-03	1.0000e+00	0.0000e+00
2.1600e+02	2.4800e+02	5.6896e-02	6.9838e-03	1.0000e+00	0.0000e+00
2.2400e+02	2.4800e+02	5.2409e-02	4.8799e-03	1.0000e+00	0.0000e+00
