# x	y	u	v	flags	mask
8.0000e+00	2.4800e+02	2.7809e+00	1.2783e+00	0.0000e+00	0.0000e+00
1.6000e+01	2.4800e+02	2.7724e+00	1.2834e+00	1.0000e+00	0.0000e+00
2.4000e+01	2.4800e+02	2.7603e+00	1.2933e+00	0.0000e+00	0.0000e+00
3.2000e+01	2.4800e+02	2.7660e+00	1.2931e+00	0.0000e+00	0.0000e+00
4.0000e+01	2.4800e+02	2.7622e+00	1.2924e+00	0.0000e+00	0.0000e+00
4.8000e+01	2.4800e+02	2.7619e+00	1.3201e+00	0.0000e+00	0.0000e+00
5.6000e+01	2.4800e+02	2.7579e+00	1.3081e+00	1.0000e+00	0.0000e+00
6.4000e+01	2.4800e+02	2.7232e+00	1.3333e+00	0.0000e+00	0.0000e+00
7.2000e+01	2.4800e+02	2.7582e+00	1.3339e+00	0.0000e+00	0.0000e+00
8.0000e+01	2.4800e+02	2.7591e+00	1.3144e+00	0.0000e+00	0.0000e+00
8.8000e+01	2.4800e+02	2.7062e+00	1.3305e+00	0.0000e+00	0.0000e+00
9.6000e+01	2.4800e+02	2.6971e+00	1.3120e+00	0.0000e+00	0.0000e+00
1.0400e+02	2.4800e+02	2.7602e+00	1.2725e+00	0.0000e+00	0.0000e+00
1.1200e+02	2.4800e+02	2.7608e+00	1.3154e+00	0.0000e+00	0.0000e+00
1.2000e+02	2.4800e+02	2.7722e+00	1.2962e+00	1.0000e+00	0.0000e+00
1.2800e+02	2.4800e+02	2.7692e+00	1.3131e+00	0.0000e+00	0.0000e+00
1.3600e+02	2.4800e+02	2.7754e+00	1.2944e+00	1.0000e+00	0.0000e+00
1.4400e+02	2.4800e+02	2.7742e+00	1.2868e+00	0.0000e+00	0.0000e+00
1.5200e+02	2.4800e+02	2.7795e+00	1.2903e+00	0.0000e+00	0.0000e+00
1.6000e+02	2.4800e+02	2.7639e+00	1.2948e+00	0.0000e+00	0.0000e+00
1.6800e+02	2.4800e+02	2.7781e+00	1.3222e+00	0.0000e+00	0.0000e+00
1.7600e+02	2.4800e+02	2.7748e+00	1.2917e+00	1.0000e+00	0.0000e+00
1.8400e+02	2.4800e+02	2.7887e+00	1.2944e+00	0.0000e+00	0.0000e+00
1.9200e+02	2.4800e+02	2.7642e+00	1.3302e+00	0.0000e+00	0.0000e+00
2.0000e+02	2.4800e+02	2.7540e+00	1.3054e+00	0.0000e+00	0.0000e+00
2.0800e+02	2.4800e+02	2.7672e+00	1.2971e+00	0.0000e+00	0.0000e+00
2.1600e+02	2.4800e+02	2.7892e+00	1.2896e+00	0.0000e+00	0.0000e+00
2.2400e+02	2.4800e+02	2.7562e+00	1.2777e+00	0.0000e+00	0.0000e+00
2.3200e+02	2.4800e+02	2.8039e+00	1.3065e+00	0.0000e+00	0.0000e+00
2.4000e+02	2.4800e+02	2.7731e+00	1.2772e+00	0.0000e+00	0.0000e+00
2.4800e+02	2.4800e+02	2.7791e+00	1.2612e+00	0.0000e+00	0.0000e+00
8.0000e+00	2.4000e+02	2.7791e+00	1.2571e+00	0.0000e+00	0.0000e+00
1.6000e+01	2.4000e+02	2.7753e+00	1.2863e+00	1.0000e+00	0.0000e+00
2.4000e+01	2.4000e+02	2.7733e+00	1.2879e+00	1.0000e+00	0.0000e+00
3.2000e+01	2.4000e+02	2.7648e+00	1.2913e+00	1.0000e+00	0.0000e+00
4.0000e+01	2.4000e+02	2.7635e+00	1.3006e+00	0.0000e+00	0.0000e+00
4.8000e+01	2.4000e+02	2.7597e+00	1.2995e+00	1.0000e+00	0.0000e+00
5.6000e+01	2.4000e+02	2.7459e+00	1.2970e+00	0.0000e+00	0.0000e+00
6.4000e+01	2.4000e+02	2.7594e+00	1.3071e+00	1.0000e+00	0.0000e+00
7.2000e+01	2.4000e+02	2.7741e+00	1.3285e+00	0.0000e+00	0.0000e+00
8.0000e+01	2.4000e+02	2.7531e+00	1.3072e+00	1.0000e+00	0.0000e+00
8.8000e+01	2.4000e+02	2.7565e+00	1.3012e+00	1.0000e+00	0.0000e+00
9.6000e+01	2.4000e+02	2.7105e+00	1.3011e+00	0.0000e+00	0.0000e+00
1.0400e+02	2.4000e+02	2.7681e+00	1.2903e+00	0.0000e+00	0.0000e+00
1.1200e+02	2.4000e+02	2.7621e+00	1.3280e+00	0.0000e+00	0.0000e+00
